Order ID,Order Date,Store ID,Region,Product Category,Sub-Category,Quantity,Price,Discount (%),Sales,Profit
ORD102484,2019-01-01,S034,West,Beauty,Makeup,5,139.0,14.7,592.84,153.79
ORD110521,2019-01-01,S039,East,Beauty,Skincare,5,120.56,6.89,561.27,151.74
ORD108386,2019-01-01,S044,West,Grocery,Fresh,2,35.95,12.01,63.26,4.76
ORD101378,2019-01-02,S043,South,Electronics,Laptops,2,446.84,1.42,880.99,192.44
ORD101476,2019-01-02,S036,North,Electronics,Laptops,4,594.13,0.0,2376.52,522.83
ORD101646,2019-01-02,S025,West,Grocery,Beverages,5,33.35,0.0,166.75,13.34
ORD105148,2019-01-02,S019,North,Electronics,Mobiles,9,1072.81,0.0,9655.29,2124.16
ORD100150,2019-01-02,S013,Central,Grocery,Fresh,5,18.73,2.27,91.52,7.24
ORD109514,2019-01-03,S015,North,Electronics,Laptops,2,795.19,12.65,1389.2,286.29
ORD103493,2019-01-03,S005,East,Beauty,Skincare,4,115.05,5.91,433.0,117.66
ORD107367,2019-01-03,S045,Central,Grocery,Staples,3,39.85,2.71,116.31,9.18
ORD101180,2019-01-03,S004,South,Furniture,Sofas,6,89.3,9.54,484.68,83.08
ORD109842,2019-01-03,S006,North,Grocery,Staples,2,3.25,9.62,5.87,0.45
ORD110411,2019-01-03,S049,West,Electronics,Mobiles,2,1110.53,0.0,2221.06,488.63
ORD108088,2019-01-04,S015,West,Grocery,Staples,5,46.62,0.0,233.1,18.65
ORD100723,2019-01-04,S012,West,Grocery,Beverages,9,26.08,5.81,221.08,17.17
ORD111171,2019-01-05,S026,South,Grocery,Snacks,2,10.05,12.82,17.52,1.31
ORD105472,2019-01-05,S045,East,Furniture,Tables,3,695.24,18.5,1699.86,277.67
ORD111884,2019-01-05,S006,Central,Grocery,Staples,4,14.88,12.84,51.88,3.88
ORD100307,2019-01-05,S014,East,Beauty,Skincare,4,33.24,6.05,124.92,33.92
ORD111155,2019-01-06,S007,East,Electronics,Audio,5,814.65,10.86,3630.9,755.42
ORD111962,2019-01-06,S029,North,Beauty,Haircare,7,80.8,8.51,517.47,138.73
ORD100719,2019-01-06,S016,South,Electronics,Laptops,2,387.18,5.34,733.01,156.96
ORD104061,2019-01-06,S042,North,Beauty,Skincare,2,25.81,8.22,47.38,12.72
ORD102562,2019-01-07,S017,East,Furniture,Beds,4,290.54,1.99,1139.03,202.99
ORD108180,2019-01-07,S011,North,Furniture,Beds,4,1056.08,9.58,3819.63,654.6
ORD107899,2019-01-07,S038,North,Electronics,Mobiles,4,905.38,14.21,3106.9,634.95
ORD109456,2019-01-07,S014,Central,Electronics,Laptops,2,975.01,12.77,1701.0,350.33
ORD102983,2019-01-08,S045,Central,Furniture,Tables,2,637.47,1.0,1262.19,226.06
ORD108549,2019-01-08,S042,East,Grocery,Staples,7,6.93,2.26,47.41,3.75
ORD111923,2019-01-08,S017,South,Beauty,Skincare,3,153.89,9.51,417.77,111.41
ORD102236,2019-01-08,S003,South,Electronics,Laptops,4,1182.57,1.75,4647.5,1013.5
ORD104447,2019-01-08,S024,Central,Clothing,Accessories,7,90.8,1.49,626.13,217.51
ORD110314,2019-01-08,S019,West,Furniture,Sofas,3,311.2,3.37,902.14,159.65
ORD111473,2019-01-09,S016,South,Clothing,Kids,6,18.92,1.82,111.45,38.65
ORD101668,2019-01-10,S046,West,Electronics,Audio,2,1176.93,0.67,2338.09,512.66
ORD111969,2019-01-10,S033,West,Beauty,Makeup,2,80.69,10.15,145.0,38.54
ORD100534,2019-01-10,S046,South,Grocery,Fresh,3,23.95,6.34,67.29,5.21
ORD100757,2019-01-10,S027,West,Grocery,Beverages,3,34.93,2.71,101.95,8.05
ORD103003,2019-01-10,S013,Central,Grocery,Fresh,4,7.87,5.67,29.7,2.31
ORD103110,2019-01-10,S038,South,Grocery,Snacks,3,25.81,0.0,77.43,6.19
ORD107460,2019-01-10,S018,North,Electronics,Accessories,2,870.42,9.58,1574.07,329.71
ORD100839,2019-01-11,S034,South,Furniture,Beds,7,246.76,0.0,1727.32,310.92
ORD107563,2019-01-11,S007,West,Grocery,Beverages,5,47.37,14.83,201.73,14.94
ORD109634,2019-01-11,S001,North,Clothing,Accessories,5,84.14,0.0,420.7,147.24
ORD101156,2019-01-11,S019,West,Clothing,Women,6,115.11,6.69,644.45,218.01
ORD103735,2019-01-11,S011,Central,Grocery,Staples,3,22.08,0.0,66.24,5.3
ORD101778,2019-01-12,S041,West,Clothing,Women,3,105.71,5.99,298.13,101.22
ORD109080,2019-01-12,S014,West,Grocery,Beverages,5,31.79,0.0,158.95,12.72
